日時,アレイ,札幌→大通り,大通り→札幌,合計
2018-12-01T05:45:00+09:00,J1,810,771,1581
2018-12-01T05:45:00+09:00,J2,324,409,733
2018-12-01T05:45:00+09:00,J3,741,634,1375
2018-12-01T05:45:00+09:00,J4,578,712,1290
2018-12-01T05:45:00+09:00,J5,538,590,1128
2018-12-01T06:00:00+09:00,J1,608,735,1343
2018-12-01T06:00:00+09:00,J2,367,417,784
2018-12-01T06:00:00+09:00,J3,682,653,1335
2018-12-01T06:00:00+09:00,J4,560,711,1271
2018-12-01T06:00:00+09:00,J5,598,648,1246
2018-12-01T06:15:00+09:00,J1,746,773,1519
2018-12-01T06:15:00+09:00,J2,410,421,831
2018-12-01T06:15:00+09:00,J3,735,647,1382
2018-12-01T06:15:00+09:00,J4,806,882,1688
2018-12-01T06:15:00+09:00,J5,583,578,1161
2018-12-01T06:30:00+09:00,J1,780,772,1552
2018-12-01T06:30:00+09:00,J2,341,346,687
2018-12-01T06:30:00+09:00,J3,565,555,1120
2018-12-01T06:30:00+09:00,J4,704,846,1550
2018-12-01T06:30:00+09:00,J5,622,554,1176
2018-12-01T06:45:00+09:00,J1,828,807,1635
2018-12-01T06:45:00+09:00,J2,350,383,733
2018-12-01T06:45:00+09:00,J3,578,515,1093
2018-12-01T06:45:00+09:00,J4,894,801,1695
2018-12-01T06:45:00+09:00,J5,592,555,1147
2018-12-01T07:00:00+09:00,J1,819,959,1778
2018-12-01T07:00:00+09:00,J2,474,443,917
2018-12-01T07:00:00+09:00,J3,668,646,1314
2018-12-01T07:00:00+09:00,J4,1019,1033,2052
2018-12-01T07:00:00+09:00,J5,664,576,1240
2018-12-01T07:15:00+09:00,J1,913,970,1883
2018-12-01T07:15:00+09:00,J2,543,473,1016
2018-12-01T07:15:00+09:00,J3,659,645,1304
2018-12-01T07:15:00+09:00,J4,1083,1224,2307
2018-12-01T07:15:00+09:00,J5,650,612,1262
2018-12-01T07:30:00+09:00,J1,981,949,1930
2018-12-01T07:30:00+09:00,J2,468,422,890
2018-12-01T07:30:00+09:00,J3,535,584,1119
2018-12-01T07:30:00+09:00,J4,1122,1148,2270
2018-12-01T07:30:00+09:00,J5,624,575,1199
2018-12-01T07:45:00+09:00,J1,955,949,1904
2018-12-01T07:45:00+09:00,J2,424,400,824
2018-12-01T07:45:00+09:00,J3,573,539,1112
2018-12-01T07:45:00+09:00,J4,1064,1067,2131
2018-12-01T07:45:00+09:00,J5,558,557,1115
2018-12-01T08:00:00+09:00,J1,1273,1287,2560
2018-12-01T08:00:00+09:00,J2,489,559,1048
2018-12-01T08:00:00+09:00,J3,902,811,1713
2018-12-01T08:00:00+09:00,J4,1131,1081,2212
2018-12-01T08:00:00+09:00,J5,533,597,1130
2018-12-01T08:15:00+09:00,J1,1361,1357,2718
2018-12-01T08:15:00+09:00,J2,448,482,930
2018-12-01T08:15:00+09:00,J3,858,919,1777
2018-12-01T08:15:00+09:00,J4,1321,1208,2529
2018-12-01T08:15:00+09:00,J5,603,703,1306
2018-12-01T08:30:00+09:00,J1,1413,1443,2856
2018-12-01T08:30:00+09:00,J2,673,620,1293
2018-12-01T08:30:00+09:00,J3,904,836,1740
2018-12-01T08:30:00+09:00,J4,1277,1314,2591
2018-12-01T08:30:00+09:00,J5,452,476,928
2018-12-01T08:45:00+09:00,J1,1406,1311,2717
2018-12-01T08:45:00+09:00,J2,682,529,1211
