日時,アレイ,札幌→大通り,大通り→札幌,合計
2019-05-01T05:45:00+09:00,J1,487,496,983
2019-05-01T05:45:00+09:00,J2,360,464,824
2019-05-01T05:45:00+09:00,J3,621,676,1297
2019-05-01T05:45:00+09:00,J4,405,488,893
2019-05-01T05:45:00+09:00,J5,211,237,448
2019-05-01T06:00:00+09:00,J1,423,429,852
2019-05-01T06:00:00+09:00,J2,362,487,849
2019-05-01T06:00:00+09:00,J3,767,775,1542
2019-05-01T06:00:00+09:00,J4,361,423,784
2019-05-01T06:00:00+09:00,J5,276,241,517
2019-05-01T06:15:00+09:00,J1,511,474,985
2019-05-01T06:15:00+09:00,J2,391,509,900
2019-05-01T06:15:00+09:00,J3,764,728,1492
2019-05-01T06:15:00+09:00,J4,441,497,938
2019-05-01T06:15:00+09:00,J5,298,246,544
2019-05-01T06:30:00+09:00,J1,433,447,880
2019-05-01T06:30:00+09:00,J2,359,459,818
2019-05-01T06:30:00+09:00,J3,734,760,1494
2019-05-01T06:30:00+09:00,J4,458,478,936
2019-05-01T06:30:00+09:00,J5,260,290,550
2019-05-01T06:45:00+09:00,J1,449,424,873
2019-05-01T06:45:00+09:00,J2,377,453,830
2019-05-01T06:45:00+09:00,J3,716,726,1442
2019-05-01T06:45:00+09:00,J4,461,505,966
2019-05-01T06:45:00+09:00,J5,266,272,538
2019-05-01T07:00:00+09:00,J1,486,550,1036
2019-05-01T07:00:00+09:00,J2,371,379,750
2019-05-01T07:00:00+09:00,J3,760,709,1469
2019-05-01T07:00:00+09:00,J4,401,520,921
2019-05-01T07:00:00+09:00,J5,279,256,535
2019-05-01T07:15:00+09:00,J1,539,477,1016
2019-05-01T07:15:00+09:00,J2,349,376,725
2019-05-01T07:15:00+09:00,J3,818,781,1599
2019-05-01T07:15:00+09:00,J4,459,515,974
2019-05-01T07:15:00+09:00,J5,266,313,579
2019-05-01T07:30:00+09:00,J1,521,526,1047
2019-05-01T07:30:00+09:00,J2,312,379,691
2019-05-01T07:30:00+09:00,J3,773,754,1527
2019-05-01T07:30:00+09:00,J4,486,539,1025
2019-05-01T07:30:00+09:00,J5,311,309,620
2019-05-01T07:45:00+09:00,J1,501,494,995
2019-05-01T07:45:00+09:00,J2,358,375,733
2019-05-01T07:45:00+09:00,J3,828,755,1583
2019-05-01T07:45:00+09:00,J4,455,528,983
2019-05-01T07:45:00+09:00,J5,316,304,620
2019-05-01T08:00:00+09:00,J1,820,834,1654
2019-05-01T08:00:00+09:00,J2,524,452,976
2019-05-01T08:00:00+09:00,J3,823,811,1634
2019-05-01T08:00:00+09:00,J4,508,602,1110
2019-05-01T08:00:00+09:00,J5,353,336,689
2019-05-01T08:15:00+09:00,J1,981,890,1871
2019-05-01T08:15:00+09:00,J2,611,471,1082
2019-05-01T08:15:00+09:00,J3,704,705,1409
2019-05-01T08:15:00+09:00,J4,560,598,1158
2019-05-01T08:15:00+09:00,J5,387,344,731
2019-05-01T08:30:00+09:00,J1,1002,890,1892
2019-05-01T08:30:00+09:00,J2,674,611,1285
2019-05-01T08:30:00+09:00,J3,675,715,1390
2019-05-01T08:30:00+09:00,J4,616,568,1184
2019-05-01T08:30:00+09:00,J5,330,349,679
2019-05-01T08:45:00+09:00,J1,856,918,1774
2019-05-01T08:45:00+09:00,J2,615,620,1235
2019-05-01T08:45:00+09:00,J3,739,683,1422
2019-05-01T08:45:00+09:00,J4,562,517,1079
2019-05-01T08:45:00+09:00,J5,291,307,598
2019-05-01T09:00:00+09:00,J1,759,739,1498
2019-05-01T09:00:00+09:00,J2,580,609,1189
2019-05-01T09:00:00+09:00,J3,747,697,1444
2019-05-01T09:00:00+09:00,J4,620,554,1174
2019-05-01T09:00:00+09:00,J5,358,320,678
2019-05-01T09:15:00+09:00,J1,843,758,1601
2019-05-01T09:15:00+09:00,J2,643,565,1208
2019-05-01T09:15:00+09:00,J3,838,775,1613
2019-05-01T09:15:00+09:00,J4,726,673,1399
2019-05-01T09:15:00+09:00,J5,350,310,660
2019-05-01T09:30:00+09:00,J1,741,871,1612
2019-05-01T09:30:00+09:00,J2,629,575,1204
2019-05-01T09:30:00+09:00,J3,716,787,1503
2019-05-01T09:30:00+09:00,J4,824,812,1636
2019-05-01T09:30:00+09:00,J5,389,336,725
2019-05-01T09:45:00+09:00,J1,736,842,1578
2019-05-01T09:45:00+09:00,J2,691,648,1339
2019-05-01T09:45:00+09:00,J3,726,755,1481
2019-05-01T09:45:00+09:00,J4,796,847,1643
2019-05-01T09:45:00+09:00,J5,344,360,704
2019-05-01T10:00:00+09:00,J1,833,783,1616
2019-05-01T10:00:00+09:00,J2,694,665,1359
2019-05-01T10:00:00+09:00,J3,673,621,1294
2019-05-01T10:00:00+09:00,J4,875,874,1749
2019-05-01T10:00:00+09:00,J5,330,346,676
2019-05-01T10:15:00+09:00,J1,794,790,1584
