日時,アレイ,札幌→大通り,大通り→札幌,合計
2018-11-01T05:45:00+09:00,J1,497,488,985
2018-11-01T05:45:00+09:00,J2,262,254,516
2018-11-01T05:45:00+09:00,J3,652,543,1195
2018-11-01T05:45:00+09:00,J4,490,596,1086
2018-11-01T05:45:00+09:00,J5,292,360,652
2018-11-01T06:00:00+09:00,J1,494,433,927
2018-11-01T06:00:00+09:00,J2,372,311,683
2018-11-01T06:00:00+09:00,J3,506,453,959
2018-11-01T06:00:00+09:00,J4,543,503,1046
2018-11-01T06:00:00+09:00,J5,267,243,510
2018-11-01T06:15:00+09:00,J1,647,663,1310
2018-11-01T06:15:00+09:00,J2,528,393,921
2018-11-01T06:15:00+09:00,J3,531,477,1008
2018-11-01T06:15:00+09:00,J4,708,750,1458
2018-11-01T06:15:00+09:00,J5,330,275,605
2018-11-01T06:30:00+09:00,J1,702,693,1395
2018-11-01T06:30:00+09:00,J2,513,413,926
2018-11-01T06:30:00+09:00,J3,596,492,1088
2018-11-01T06:30:00+09:00,J4,627,732,1359
2018-11-01T06:30:00+09:00,J5,368,339,707
2018-11-01T06:45:00+09:00,J1,769,751,1520
2018-11-01T06:45:00+09:00,J2,570,476,1046
2018-11-01T06:45:00+09:00,J3,657,569,1226
2018-11-01T06:45:00+09:00,J4,786,742,1528
2018-11-01T06:45:00+09:00,J5,426,369,795
2018-11-01T07:00:00+09:00,J1,859,837,1696
2018-11-01T07:00:00+09:00,J2,416,366,782
2018-11-01T07:00:00+09:00,J3,753,698,1451
2018-11-01T07:00:00+09:00,J4,880,880,1760
2018-11-01T07:00:00+09:00,J5,530,470,1000
2018-11-01T07:15:00+09:00,J1,945,899,1844
2018-11-01T07:15:00+09:00,J2,587,439,1026
2018-11-01T07:15:00+09:00,J3,740,646,1386
2018-11-01T07:15:00+09:00,J4,1150,1136,2286
2018-11-01T07:15:00+09:00,J5,588,496,1084
2018-11-01T07:30:00+09:00,J1,964,924,1888
2018-11-01T07:30:00+09:00,J2,638,510,1148
2018-11-01T07:30:00+09:00,J3,796,733,1529
2018-11-01T07:30:00+09:00,J4,1144,1148,2292
2018-11-01T07:30:00+09:00,J5,572,582,1154
2018-11-01T07:45:00+09:00,J1,1015,939,1954
2018-11-01T07:45:00+09:00,J2,786,633,1419
2018-11-01T07:45:00+09:00,J3,837,828,1665
2018-11-01T07:45:00+09:00,J4,1232,1182,2414
2018-11-01T07:45:00+09:00,J5,540,570,1110
2018-11-01T08:00:00+09:00,J1,1213,1082,2295
2018-11-01T08:00:00+09:00,J2,878,665,1543
2018-11-01T08:00:00+09:00,J3,900,760,1660
2018-11-01T08:00:00+09:00,J4,1175,1282,2457
2018-11-01T08:00:00+09:00,J5,506,494,1000
2018-11-01T08:15:00+09:00,J1,1322,1077,2399
2018-11-01T08:15:00+09:00,J2,1149,787,1936
2018-11-01T08:15:00+09:00,J3,922,960,1882
2018-11-01T08:15:00+09:00,J4,1173,1367,2540
2018-11-01T08:15:00+09:00,J5,551,562,1113
2018-11-01T08:30:00+09:00,J1,1304,1068,2372
2018-11-01T08:30:00+09:00,J2,1056,742,1798
2018-11-01T08:30:00+09:00,J3,904,1168,2072
2018-11-01T08:30:00+09:00,J4,1083,1371,2454
2018-11-01T08:30:00+09:00,J5,608,537,1145
2018-11-01T08:45:00+09:00,J1,1103,920,2023
2018-11-01T08:45:00+09:00,J2,934,666,1600
2018-11-01T08:45:00+09:00,J3,816,932,1748
2018-11-01T08:45:00+09:00,J4,1165,1262,2427
2018-11-01T08:45:00+09:00,J5,507,468,975
2018-11-01T09:00:00+09:00,J1,1087,1019,2106
2018-11-01T09:00:00+09:00,J2,807,578,1385
2018-11-01T09:00:00+09:00,J3,819,747,1566
2018-11-01T09:00:00+09:00,J4,1059,1128,2187
2018-11-01T09:00:00+09:00,J5,499,422,921
2018-11-01T09:15:00+09:00,J1,931,859,1790
2018-11-01T09:15:00+09:00,J2,716,494,1210
2018-11-01T09:15:00+09:00,J3,775,667,1442
2018-11-01T09:15:00+09:00,J4,1027,1122,2149
2018-11-01T09:15:00+09:00,J5,586,575,1161
2018-11-01T09:30:00+09:00,J1,929,846,1775
2018-11-01T09:30:00+09:00,J2,796,506,1302
2018-11-01T09:30:00+09:00,J3,786,688,1474
2018-11-01T09:30:00+09:00,J4,1052,1054,2106
2018-11-01T09:30:00+09:00,J5,620,617,1237
2018-11-01T09:45:00+09:00,J1,860,892,1752
2018-11-01T09:45:00+09:00,J2,755,576,1331
