日時,アレイ,札幌→大通り,大通り→札幌,合計
2019-02-01T05:45:00+09:00,J1,1003,1163,2166
2019-02-01T05:45:00+09:00,J2,441,497,938
2019-02-01T05:45:00+09:00,J3,840,781,1621
2019-02-01T05:45:00+09:00,J4,811,758,1569
2019-02-01T05:45:00+09:00,J5,514,466,980
2019-02-01T06:00:00+09:00,J1,965,1006,1971
2019-02-01T06:00:00+09:00,J2,430,452,882
2019-02-01T06:00:00+09:00,J3,751,769,1520
2019-02-01T06:00:00+09:00,J4,754,801,1555
2019-02-01T06:00:00+09:00,J5,588,541,1129
2019-02-01T06:15:00+09:00,J1,1120,1137,2257
2019-02-01T06:15:00+09:00,J2,522,574,1096
2019-02-01T06:15:00+09:00,J3,793,791,1584
2019-02-01T06:15:00+09:00,J4,799,813,1612
2019-02-01T06:15:00+09:00,J5,537,518,1055
2019-02-01T06:30:00+09:00,J1,1118,1186,2304
2019-02-01T06:30:00+09:00,J2,545,535,1080
2019-02-01T06:30:00+09:00,J3,797,797,1594
2019-02-01T06:30:00+09:00,J4,778,763,1541
2019-02-01T06:30:00+09:00,J5,599,569,1168
2019-02-01T06:45:00+09:00,J1,1187,1154,2341
2019-02-01T06:45:00+09:00,J2,772,727,1499
2019-02-01T06:45:00+09:00,J3,856,836,1692
2019-02-01T06:45:00+09:00,J4,810,922,1732
2019-02-01T06:45:00+09:00,J5,563,556,1119
2019-02-01T07:00:00+09:00,J1,1151,1269,2420
2019-02-01T07:00:00+09:00,J2,818,744,1562
2019-02-01T07:00:00+09:00,J3,869,844,1713
2019-02-01T07:00:00+09:00,J4,878,953,1831
2019-02-01T07:00:00+09:00,J5,601,566,1167
2019-02-01T07:15:00+09:00,J1,1179,1244,2423
2019-02-01T07:15:00+09:00,J2,817,795,1612
2019-02-01T07:15:00+09:00,J3,1046,1001,2047
2019-02-01T07:15:00+09:00,J4,993,1016,2009
2019-02-01T07:15:00+09:00,J5,567,595,1162
2019-02-01T07:30:00+09:00,J1,1265,1332,2597
2019-02-01T07:30:00+09:00,J2,883,720,1603
2019-02-01T07:30:00+09:00,J3,1320,1163,2483
2019-02-01T07:30:00+09:00,J4,1068,1123,2191
2019-02-01T07:30:00+09:00,J5,720,626,1346
2019-02-01T07:45:00+09:00,J1,1368,1399,2767
2019-02-01T07:45:00+09:00,J2,856,728,1584
2019-02-01T07:45:00+09:00,J3,1497,1332,2829
2019-02-01T07:45:00+09:00,J4,1015,1237,2252
2019-02-01T07:45:00+09:00,J5,667,629,1296
2019-02-01T08:00:00+09:00,J1,1408,1333,2741
2019-02-01T08:00:00+09:00,J2,1015,885,1900
2019-02-01T08:00:00+09:00,J3,1574,1421,2995
2019-02-01T08:00:00+09:00,J4,974,1214,2188
2019-02-01T08:00:00+09:00,J5,625,713,1338
2019-02-01T08:15:00+09:00,J1,1416,1353,2769
2019-02-01T08:15:00+09:00,J2,1251,857,2108
2019-02-01T08:15:00+09:00,J3,1645,1440,3085
2019-02-01T08:15:00+09:00,J4,992,1337,2329
2019-02-01T08:15:00+09:00,J5,743,752,1495
2019-02-01T08:30:00+09:00,J1,1422,1311,2733
2019-02-01T08:30:00+09:00,J2,1208,912,2120
2019-02-01T08:30:00+09:00,J3,1558,1444,3002
2019-02-01T08:30:00+09:00,J4,990,1254,2244
2019-02-01T08:30:00+09:00,J5,713,744,1457
2019-02-01T08:45:00+09:00,J1,1406,1366,2772
2019-02-01T08:45:00+09:00,J2,984,806,1790
2019-02-01T08:45:00+09:00,J3,1562,1469,3031
2019-02-01T08:45:00+09:00,J4,953,1175,2128
2019-02-01T08:45:00+09:00,J5,697,756,1453
2019-02-01T09:00:00+09:00,J1,1344,1423,2767
2019-02-01T09:00:00+09:00,J2,1097,947,2044
2019-02-01T09:00:00+09:00,J3,1464,1251,2715
2019-02-01T09:00:00+09:00,J4,815,1060,1875
2019-02-01T09:00:00+09:00,J5,735,743,1478
2019-02-01T09:15:00+09:00,J1,1348,1390,2738
2019-02-01T09:15:00+09:00,J2,1055,943,1998
2019-02-01T09:15:00+09:00,J3,1303,1226,2529
2019-02-01T09:15:00+09:00,J4,923,1101,2024
2019-02-01T09:15:00+09:00,J5,573,546,1119
2019-02-01T09:30:00+09:00,J1,1396,1307,2703
2019-02-01T09:30:00+09:00,J2,1166,1012,2178
2019-02-01T09:30:00+09:00,J3,1385,1257,2642
2019-02-01T09:30:00+09:00,J4,885,1132,2017
2019-02-01T09:30:00+09:00,J5,634,636,1270
2019-02-01T09:45:00+09:00,J1,1352,1359,2711
2019-02-01T09:45:00+09:00,J2,1046,885,1931
2019-02-01T09:45:00+09:00,J3,1306,1194,2500
2019-02-01T09:45:00+09:00,J4,857,1014,1871
2019-02-01T09:45:00+09:00,J5,601,647,1248
2019-02-01T10:00:00+09:00,J1,1319,1358,2677
2019-02-01T10:00:00+09:00,J2,882,744,1626
2019-02-01T10:00:00+09:00,J3,1290,1176,2466
2019-02-01T10:00:00+09:00,J4,847,1063,1910
2019-02-01T10:00:00+09:00,J5,637,613,1250
2019-02-01T10:15:00+09:00,J1,1364,1372,2736
2019-02-01T10:15:00+09:00,J2,1006,782,1788
2019-02-01T10:15:00+09:00,J3,1282,1101,2383
2019-02-01T10:15:00+09:00,J4,1038,989,2027
2019-02-01T10:15:00+09:00,J5,625,565,1190
2019-02-01T10:30:00+09:00,J1,1374,1393,2767
2019-02-01T10:30:00+09:00,J2,895,806,1701
2019-02-01T10:30:00+09:00,J3,1329,1147,2476
2019-02-01T10:30:00+09:00,J4,867,1009,1876
